band,barrier_free,capacity,card,charter,child,course,credit_card,english,free_drink,free_food,horigotatsu,karaoke,ktai_coupon,lat,lng,lunch,midnight,non_smoking,parking,party_capacity,pet,private_room,show,tatami,tv,wifi,budget.code,genre.code,large_area.code,large_service_area.code,middle_area.code,service_area.code,small_area.code
0,0,50,1,0,1,1,"[V,M,A]",1,1,0,0,0,0,35.00609216,135.7664454,1,0,2,0,30,0,0,0,0,0,1,2500,ダイニングバー・バル,Z022,SS20,Y432,SA22,X430
0,0,60,1,0,2,1,"[V,M,A,D,J,G]",1,0,0,0,0,0,35.00844891,135.7696947,1,0,2,0,20,0,1,0,0,0,0,4500,和食,Z022,SS20,Y432,SA22,X430
0,0,50,1,0,0,1,"[V,M,A,J]",1,0,0,0,0,0,35.00551049,135.7755371,1,0,0,0,50,0,1,0,0,0,1,4500,居酒屋,Z022,SS20,Y432,SA22,X430
0,0,50,0,1,1,1,,0,0,0,0,0,0,35.00495447,135.7767973,1,0,2,0,50,0,1,0,1,0,1,2500,韓国料理,Z022,SS20,Y432,SA22,X430
0,0,80,1,0,2,0,"[V,M,J]",1,0,0,0,0,0,35.00635116,135.7726295,1,0,2,0,80,0,0,0,0,1,0,,韓国料理,Z022,SS20,Y432,SA22,X430
0,0,60,1,1,2,1,"[V,M]",0,1,0,0,0,0,35.00258199,135.7661352,0,0,2,0,20,0,1,0,0,0,0,3500,居酒屋,Z022,SS20,Y432,SA22,X430
0,0,100,1,1,1,1,"[V,M,A]",0,1,1,0,1,0,35.00427551,135.7702745,0,1,0,0,150,0,1,0,0,1,1,2500,ダイニングバー・バル,Z022,SS20,Y432,SA22,X430
1,1,98,1,1,1,1,"[V,M,A,D,J,G]",0,1,0,0,0,0,35.01164429,135.7658108,1,0,2,0,60,1,0,1,0,0,1,3500,イタリアン・フレンチ,Z022,SS20,Y432,SA22,X430
0,0,26,1,1,2,1,"[V,M,J]",0,1,1,0,1,0,35.00467158,135.7707039,0,1,0,0,30,0,1,0,0,1,1,2500,韓国料理,Z022,SS20,Y432,SA22,X430
0,1,26,1,1,2,1,"[V,M,A,J]",0,1,0,1,0,0,35.00418407,135.7677995,1,0,0,0,20,0,1,0,0,0,0,3500,居酒屋,Z022,SS20,Y432,SA22,X430
